id,mean__point_density,mean__pulse_density,mean__scan_angle_mean,mean__chm,mean__veg_height_mean,mean__veg_height_median,mean__crr,mean__veg_height_q10,mean__veg_height_q20,mean__veg_height_q30,mean__veg_height_q40,mean__veg_height_q50,mean__veg_height_q60,mean__veg_height_q70,mean__veg_height_q80,mean__veg_height_q90,mean__veg_height_sd,mean__veg_height_cv,mean__veg_height_skew,mean__veg_height_kurt,mean__veg_height_gini,mean__canopy_cover_gt1m,mean__canopy_cover_gt1m_w,mean__fhd,mean__fhd_w,mean__vci,mean__vci_w,mean__shann_capture,mean__shann_capture_w,mean__norm_shann_capture,mean__norm_shann_capture_w,max__chm,sd__chm,sd__veg_height_mean,sd__veg_height_median,sd__crr,sd__veg_height_q10,sd__veg_height_q20,sd__veg_height_q30,sd__veg_height_q40,sd__veg_height_q50,sd__veg_height_q60,sd__veg_height_q70,sd__veg_height_q80,sd__veg_height_q90,sd__veg_height_sd,sd__veg_height_cv,sd__veg_height_skew,sd__veg_height_kurt,sd__veg_height_gini,sd__canopy_cover_gt1m,sd__canopy_cover_gt1m_w,sd__fhd,sd__fhd_w,sd__vci,sd__vci_w,sd__shann_capture,sd__shann_capture_w,sd__norm_shann_capture,sd__norm_shann_capture_w,cv__chm,cv__veg_height_mean,cv__veg_height_median,cv__veg_height_q10,cv__veg_height_q20,cv__veg_height_q30,cv__veg_height_q40,cv__veg_height_q50,cv__veg_height_q60,cv__veg_height_q70,cv__veg_height_q80,cv__veg_height_q90,cv__veg_height_sd,site
ULO_212_P1,1487.4348003259984,1487.4348003259984,0.0,16.090184275184278,6.432254655739567,6.234406224406224,0.4543760934413823,2.7414971334971336,3.6529623259623256,4.54431941031941,5.393717444717446,6.234406224406224,7.056305487305488,7.979248157248158,9.006305487305488,10.399610565110565,3.2487752041869276,0.5857402482675175,0.44895694926671464,2.3521021228584753,0.29913616904263296,0.7772059307298229,0.7772059307298229,1.8121990879211973,1.8121990879211973,0.4656430536633387,0.4656430536633387,1.647230049489361,1.647230049489361,0.4232543959671126,0.4232543959671126,47.03,8.019847942607996,3.2096039294068093,3.7915446761896305,0.2187354910064899,3.3811499751073875,3.535766295311239,3.6190460690606856,3.700022826646548,3.7915446761896305,3.8627998595788466,3.9576170425980703,4.051968529796914,4.3906428045283254,1.7405465283962642,0.32377594866861603,1.3734383219668358,8.374811193017067,0.14971979169738586,0.2199460710463759,0.2199460710463759,0.583653687475445,0.583653687475445,0.14996933125581183,0.14996933125581183,0.4785341792193831,0.4785341792193831,0.12295896073405509,0.12295896073405509,0.4984310810521246,0.49898583019297077,0.608164521161074,1.2333224550172315,0.9679175364557825,0.7963890172073778,0.6859875150245985,0.608164521161074,0.5474252590860959,0.495988715303091,0.4499035187634064,0.4221930020397495,0.5357546826118034,ULO_212
ULO_212_P2,1242.2202436738519,1242.2202436738519,0.0,16.525525200188415,6.847042921145185,6.825661799340557,0.48569957435623146,2.8766928874234576,4.007796514366462,5.049008007536504,5.973312293923693,6.825661799340557,7.6431785209609036,8.495996231747528,9.451046632124353,10.68499905793688,3.325819948126961,0.5449695646032376,0.24724873462206645,2.096565403487717,0.2811417526399767,0.7672055791385769,0.7672055791385769,1.819191345603658,1.819191345603658,0.47249911790281934,0.47249911790281934,1.6618717810086927,1.6618717810086927,0.4316384598529588,0.4316384598529588,45.04,8.750470921703519,2.78336046867925,3.3831763083920907,0.2191264733511617,3.131318331103221,3.319026803212056,3.393889904847955,3.3933181792513705,3.3831763083920907,3.410685086458768,3.415265762834755,3.4888134618842126,3.8295798516088393,1.6717492889412344,0.2985448012799229,1.3298982573142126,6.948003203730293,0.14693983029946134,0.23023936976712864,0.23023936976712864,0.5987350547100198,0.5987350547100198,0.15550963668096499,0.15550963668096499,0.5181067026082601,0.5181067026082601,0.13456801042592262,0.13456801042592262,0.529512424912447,0.4065054799179974,0.495655426220934,1.0885132524201502,0.8281425444916122,0.6721894478642135,0.5680798210907536,0.495655426220934,0.4462390976614236,0.401985319870166,0.3691457250909804,0.35840713048675515,0.50265778515242,ULO_212
ULO_212_P3,1408.3570229434806,1408.3570229434806,0.0,13.898277239018825,4.894581729362597,4.733622361665716,0.43364568812706517,1.8117102110667427,2.622986879634911,3.3270028522532806,4.027331431831147,4.733622361665716,5.447258414147178,6.1682373074729036,6.967632629777524,8.140015402167712,2.7014833184685294,0.5988772644997107,0.6049496849351279,3.093623804111535,0.30793897181974006,0.7152849533504883,0.7152849533504883,1.7210909642620946,1.7210909642620946,0.46978627098586795,0.46978627098586795,1.5465521603309131,1.5465521603309131,0.4221444347646672,0.4221444347646672,37.28,8.120167157086106,2.7903784296756227,3.231234996909092,0.22168976764356835,2.6105447631706156,2.7488757746317374,2.8207114506523467,2.9212538626953783,3.231234996909092,3.490381658016583,3.6588009252562608,3.750917446198919,4.2391323830978065,1.6402084418084006,0.2987148018959166,1.395528575619891,10.82262466931841,0.13707937358335098,0.23165525021563316,0.23165525021563316,0.6133458846414809,0.6133458846414809,0.1674179238363431,0.1674179238363431,0.5197442349820413,0.5197442349820413,0.14186856539758866,0.14186856539758866,0.5842571001741914,0.5700953797412641,0.6826135990645548,1.4409284372435676,1.0479944813960902,0.84782357452503,0.725357202937515,0.6826135990645548,0.6407593311438369,0.5931679899577751,0.5383345600295641,0.520776948649128,0.607151053125227,ULO_212
ULO_212_P4,1553.5291925465838,1553.5291925465838,0.0,12.860642085187541,4.681368658512366,4.507539732994279,0.44206844336642986,2.305888111888112,2.942628099173554,3.5011474888747616,4.002387794024158,4.507539732994279,5.001861411315956,5.556174825174825,6.169986013986015,7.109701843610935,2.245106982865563,0.578101156727546,0.7974000388015289,4.246454981936496,0.2884553834459833,0.7033180947618773,0.7033180947618773,1.5686283860314172,1.5686283860314172,0.41705528495714284,0.41705528495714284,1.4336043010100443,1.4336043010100443,0.38115608234412934,0.38115608234412934,41.35,8.767106814055685,3.83512732314486,3.9720609592098106,0.23932707101522485,3.942292047316731,3.977895986605611,3.9956574609588755,3.9665465174276933,3.9720609592098106,4.0135794429900615,4.1533251416557375,4.303021452379607,4.632642050239606,1.6367477799028924,0.33170551919239255,1.581688090810442,12.348344843819758,0.13741787024511087,0.255370777778472,0.255370777778472,0.6343687757490218,0.6343687757490218,0.16866126667978282,0.16866126667978282,0.5528781977113335,0.5528781977113335,0.14699515598876428,0.14699515598876428,0.681700552428354,0.8192320671373011,0.8812037595886572,1.7096631996114917,1.3518174409205213,1.1412422566188565,0.9910450265089309,0.8812037595886572,0.8024171629205767,0.7475152010763184,0.6974118648933068,0.6515944201517656,0.7290288580430204,ULO_212
ULO_212_P5,2579.732748760961,2579.732748760961,0.0,23.32878497508624,7.825799423869976,7.384235339210426,0.38151493377101153,3.2674151015714834,4.43563357608279,5.515139517056343,6.446019164430816,7.384235339210426,8.344022230739746,9.429320812571868,10.800283633576084,12.752339977002684,4.294961142553209,0.6728021025294504,0.9657473163465872,5.0678197445769975,0.32454476491850937,0.7484771363671816,0.7484771363671816,1.9336762466544035,1.9336762466544035,0.47622297410207615,0.47622297410207615,1.7254789964974435,1.7254789964974435,0.42494845809084353,0.42494845809084353,56.68,11.58829320401762,5.908674416808924,6.445635409300535,0.21754943636126683,5.717147696032214,5.965862879192774,6.20970186019374,6.297014846832972,6.445635409300535,6.647988627327843,6.883094035192987,7.251072860656717,7.950865756173161,2.657564091970535,0.3900515488686861,1.69008391181552,13.546963431000556,0.1507511936102676,0.22250727983937008,0.22250727983937008,0.5784899605274615,0.5784899605274615,0.1424696662469875,0.1424696662469875,0.4844908179119153,0.4844908179119153,0.11931969409582151,0.11931969409582151,0.49673796626756306,0.7550250264256063,0.8728913845789952,1.7497463647280433,1.3449855081269733,1.125937402125434,0.9768842887684772,0.8728913845789952,0.7967366868746297,0.7299671070705259,0.6713780032696987,0.6234828878865835,0.6187632445938039,ULO_212
ULY_O_27_P1,575.8324350808427,331.2621264086232,19.281402587890625,32.78552929591334,21.170420944496293,23.113170851797147,0.5895340209064849,7.874721319547022,14.152670605612999,18.06465140324963,20.733778434268835,23.113170851797147,25.067260462826194,26.951967996061054,28.613512555391434,30.205506154603643,9.35473827237465,0.6051224699333949,-0.5129457383150842,1.836125940366344,0.2855678450370403,0.6307056308578313,0.5938640100567055,1.9488799575570197,1.8917411354618165,0.4740792400714867,0.46017980555145105,1.7601483527363557,1.6968664644128089,0.42816890298586624,0.4127751228762271,59.7,17.938388920099484,13.928233160928045,16.403501112844516,0.19845426994296778,11.61299726386984,14.239920604884,15.19921875841555,15.821192304007361,16.403501112844516,17.01129989341266,17.401905724329843,17.71532978983164,17.854986155699564,5.9425047037819265,0.4948060506209187,1.5525405767578693,8.058399435307654,0.1629928105195502,0.32891711415901775,0.31922427171867,0.813952690067569,0.8050189730982277,0.19799991849938536,0.19582672679744587,0.7110221643048198,0.6932255964815819,0.1729613186387087,0.16863217393340973,0.5471434899889042,0.6579100716723816,0.7097036238785503,1.4747185065512711,1.006164914149588,0.8413790235487953,0.7630636332959968,0.7097036238785503,0.6786262072251484,0.6456636386208635,0.6191246095891736,0.5911169329297358,0.6352400816312153,ULY_O_27
ULY_O_27_P2,469.0819563780568,301.2894910773298,22.517011642456055,22.32123677248677,12.69219512864667,13.6113458994709,0.4901631931621522,3.427091931216932,7.332257936507937,9.837782407407408,11.779243386243387,13.6113458994709,15.188605820105819,16.765324074074073,18.326157407407408,19.78054761904762,6.936880970017888,0.7464077949642424,0.052788538393252434,1.744893714370085,0.35728526841076913,0.4908886679412911,0.4581923620221187,1.6752095203666189,1.6199060464430937,0.40750691354610563,0.3940539408325664,1.4941422048466848,1.4381113658889966,0.36346097063894073,0.34983106108467227,59.7,18.407513537172463,13.187441024757796,15.730897967077139,0.2007440572674631,8.172863675939448,12.076453204025771,13.807847506790303,14.817539031008899,15.730897967077139,16.481909282481354,17.116284268135463,17.761625940845747,18.05951915024895,6.1449249024384285,0.48732858484848635,1.6264889714319726,9.189094551731321,0.15723711073556448,0.3537277091717654,0.34250103891969136,0.7995339883252316,0.7984344539329253,0.1944924643135496,0.19422499456657227,0.7031109222016791,0.6969697408437706,0.1710368513929272,0.1695429643117814,0.8246636924644617,1.039019719685316,1.155719506598435,2.3847809863207643,1.6470306021145384,1.403552847071878,1.2579364009333438,1.155719506598435,1.085149583687499,1.0209336957944115,0.9691953171626978,0.9129938916786403,0.8858339834570612,ULY_O_27
ULY_O_27_P3,567.7511942675159,330.1835191082803,-12.805641174316406,29.655334394904465,17.874474295827188,19.565077627388536,0.5363873295058191,5.443145700636943,10.962292993630575,14.55722810509554,17.234822452229302,19.565077627388536,21.47508041401274,23.18897213375796,24.997559713375797,26.728114251592356,8.910759917023773,0.6985255027965126,-0.2804886611802123,2.241889554692357,0.3255798113746212,0.6229036767380906,0.5872288383241129,1.9873455903301256,1.9293668164969369,0.48343628532367455,0.46933252642742623,1.7868209890817006,1.724162701058597,0.4346572159885589,0.41941513119262847,57.9,17.498724158668644,13.500743994377135,16.278574178134722,0.20899478414458383,9.939834854872949,13.18170024650375,14.613989824455528,15.500419508613279,16.278574178134722,16.84168754744497,17.35393531119243,17.642525806054365,17.74685849783789,5.8574931660154,0.5364309769422498,1.7471749370757932,10.085393855651015,0.16647141829553502,0.3160107349369816,0.305314613314048,0.7697252062384893,0.758753294561403,0.1872412610240182,0.18457226361869578,0.6757605816716364,0.6540629365890278,0.16438368191273378,0.15910557175914677,0.5900700334599959,0.7553085909513376,0.8320219570888315,1.826119564227321,1.2024583044954844,1.003899212058106,0.8993663585207586,0.8320219570888315,0.7842432821092289,0.7483701826494059,0.7057699234783358,0.6639772013388713,0.6573505762201957,ULY_O_27
ULY_O_27_P4,477.2230215827338,285.8550873586845,-7.180583953857422,30.441849948612536,19.007134814201947,20.89267214799589,0.5682321336949717,6.183010277492293,11.928011305241522,15.565061151079137,18.640161356628983,20.89267214799589,22.791960945529294,24.63813874614594,26.425584789311408,28.135135149023636,9.432837719005528,0.6861786937661949,-0.5092674104059695,1.8178915922184051,0.3177981323678839,0.5942452564908033,0.5613401293459778,1.9194074985763276,1.8537561879556657,0.4669098498263742,0.4509396904904676,1.73076282885236,1.6747361641912168,0.4210206603360264,0.4073917662097869,58.35,15.649912952028073,12.369318497956716,15.384133402207349,0.20614551390279892,10.234555754711451,13.213313207896997,14.34360236182471,15.019219404883593,15.384133402207349,15.6770760025667,15.87859743616687,15.938946044565407,15.8187719387532,5.554610536451973,0.5364936646880212,1.6098228554547642,7.142020622396529,0.17733987638157403,0.3198999320316347,0.3158686199113259,0.7680336463708971,0.7640484922852253,0.18682977676945756,0.18586035902098255,0.6849510411150137,0.6825329101878411,0.16661932809090363,0.16603110013571215,0.5140920469171867,0.6507723872571515,0.7363411100902695,1.655270700740673,1.1077549198910195,0.9215256029257718,0.8057451390860585,0.7363411100902695,0.6878335760592729,0.6444722793295701,0.6031634180149676,0.562242614260275,0.5888589098973258,ULY_O_27
ULY_O_27_P5,493.59203575782203,312.37139374238114,14.497355461120605,23.700138155221453,12.732272607483582,13.276603006907763,0.4643571299574947,3.985784640390086,7.337709061357171,9.806916294189353,11.685296221048356,13.276603006907763,14.937797643234457,16.54200853311662,17.988434782608696,20.167484355952865,7.027163508053858,0.8068391180310935,0.14285936002969293,2.414554944258045,0.3720270835556825,0.4703755983031327,0.42630832655471557,1.702848342298854,1.6423407826277696,0.4159025495828511,0.40112422334490366,1.5055594722418757,1.4377682174145623,0.36771684682658257,0.35115955571512786,58.25,18.49981827944869,12.844617636518898,15.341808216052302,0.21019578520233415,8.796462670295268,11.85945866201615,13.430177583181429,14.488623128780743,15.341808216052302,16.020116905341204,16.722946692153226,17.263961135312655,17.80602611425614,6.086174888935299,0.6017476818010574,1.7718353204672934,9.801818468423237,0.17783165350503446,0.3359290671333777,0.31496388910767,0.7835945480225055,0.7742213559697454,0.19138461263192505,0.18909531042242247,0.6753096884554748,0.6536427738075828,0.16493719035922266,0.15964527749780666,0.7805784995127945,1.008823643076043,1.1555522303461225,2.2069588459838023,1.616234517183575,1.3694597955464223,1.2399020833278358,1.1555522303461225,1.0724550759058478,1.01093810093704,0.9597255872425062,0.8829076448000472,0.8660926819135362,ULY_O_27
