site,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m
ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL,16.54068275493306,45.476,9.049177207894186,0.558127824966936,0.4394609466124241,1.770957206094554,0.5960980673254925,0.708105738122843,3.371313211394244,0.22328564787554228,0.15680556493997802,0.46024134032224895,0.7422983388695894,0.2319437497293959
ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL,27.780817713427712,58.779999999999994,17.59887156948347,0.6513095524686686,0.5297347614453846,1.846738181825789,0.7086147158982877,0.9178676856004417,2.011071149181047,0.20490688209202954,0.19158960664766714,0.44956696767009846,0.5618237660662297,0.3308969114865554
