,id,site,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m,site_id,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type
0,ULO_212_P1,ULO_212,16.090184275184278,47.03,8.019847942607996,0.4984310810521246,0.4543760934413823,1.812199087921197,0.5857402482675175,0.608164521161074,2.3521021228584758,0.2187354910064899,0.1499693312558118,0.4656430536633387,0.7772059307298229,0.2199460710463759,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
1,ULO_212_P2,ULO_212,16.525525200188415,45.04,8.750470921703519,0.529512424912447,0.4856995743562314,1.819191345603658,0.5449695646032376,0.495655426220934,2.096565403487717,0.2191264733511617,0.1555096366809649,0.4724991179028193,0.7672055791385769,0.2302393697671286,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
2,ULO_212_P3,ULO_212,13.898277239018825,37.28,8.120167157086106,0.5842571001741914,0.4336456881270651,1.7210909642620946,0.5988772644997107,0.6826135990645548,3.093623804111535,0.2216897676435683,0.1674179238363431,0.4697862709858679,0.7152849533504883,0.2316552502156331,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
3,ULO_212_P4,ULO_212,12.86064208518754,41.35,8.767106814055685,0.681700552428354,0.4420684433664298,1.5686283860314172,0.578101156727546,0.8812037595886572,4.246454981936496,0.2393270710152248,0.1686612666797828,0.4170552849571428,0.7033180947618773,0.255370777778472,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
4,ULO_212_P5,ULO_212,23.32878497508624,56.68,11.58829320401762,0.496737966267563,0.3815149337710115,1.9336762466544035,0.6728021025294504,0.8728913845789952,5.0678197445769975,0.2175494363612668,0.1424696662469875,0.4762229741020761,0.7484771363671816,0.22250727983937,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
5,ULY_O_27_P1,ULY_O_27,32.78552929591334,59.7,17.938388920099484,0.5471434899889042,0.5895340209064849,1.94887995755702,0.6051224699333949,0.7097036238785503,1.836125940366344,0.1984542699429677,0.1979999184993853,0.4740792400714867,0.6307056308578313,0.3289171141590177,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
6,ULY_O_27_P2,ULY_O_27,22.32123677248677,59.7,18.407513537172463,0.8246636924644617,0.4901631931621522,1.6752095203666189,0.7464077949642424,1.155719506598435,1.744893714370085,0.2007440572674631,0.1944924643135496,0.4075069135461056,0.4908886679412911,0.3537277091717654,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
7,ULY_O_27_P3,ULY_O_27,29.655334394904465,57.9,17.498724158668644,0.5900700334599959,0.5363873295058191,1.9873455903301256,0.6985255027965126,0.8320219570888315,2.241889554692357,0.2089947841445838,0.1872412610240182,0.4834362853236745,0.6229036767380906,0.3160107349369816,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
8,ULY_O_27_P4,ULY_O_27,30.441849948612536,58.35,15.649912952028073,0.5140920469171867,0.5682321336949717,1.919407498576328,0.6861786937661949,0.7363411100902695,1.817891592218405,0.2061455139027989,0.1868297767694575,0.4669098498263742,0.5942452564908033,0.3198999320316347,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
9,ULY_O_27_P5,ULY_O_27,23.700138155221453,58.25,18.49981827944869,0.7805784995127945,0.4643571299574947,1.702848342298854,0.8068391180310935,1.1555522303461223,2.414554944258045,0.2101957852023341,0.191384612631925,0.4159025495828511,0.4703755983031327,0.3359290671333777,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
