,id,site,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m,site_id,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type
0,ULO_212_P1,ULO_212,14.592139282735614,46.93,6.794361903839838,0.4656179448532571,0.4767089032984746,1.7973500219835976,0.5747524347487505,0.5989052403509015,1.617317574327772,0.2142607337152268,0.1558206307228516,0.4642874438499061,0.7740135040353013,0.2240258832818783,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
1,ULO_212_P2,ULO_212,15.537040767386092,44.53,8.193644488012643,0.5273619739231152,0.5043374710031712,1.8140955925378968,0.5383808676967666,0.4947331005974372,1.5091073350871862,0.2150627649539367,0.1576902119419029,0.4738222791514092,0.764235809311855,0.2330081184478945,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
2,ULO_212_P3,ULO_212,12.065134168157424,37.27,6.678702901590359,0.5535539686924447,0.4587512640640304,1.748063169580542,0.5778425777551993,0.6385119837089821,1.6053594548761403,0.2002113719041743,0.1601388789271849,0.4771485615445494,0.7125685753853498,0.2287437539275289,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
3,ULO_212_P4,ULO_212,11.37278,38.8,7.884572586488122,0.6932845431361657,0.4553106835257175,1.596828821244417,0.5586523070430731,0.7895558236643748,2.881413780059552,0.2207325419111299,0.1656716272727338,0.4328763900006522,0.6978195333229896,0.2557811845573514,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
4,ULO_212_P5,ULO_212,22.01845075905021,55.26,11.299865155122315,0.5131998285791178,0.394202983511185,1.9409889710690664,0.6656878889183124,0.8661555129019999,4.563722799457409,0.2139030612555286,0.1399877293047904,0.4800802271569155,0.7474639453327322,0.2206409282539686,ULO_212,ULO,1950.0,75.0,403.7025718,17.38788857,UL
5,ULY_O_27_P1,ULY_O_27,32.784559330379125,59.7,17.938621131644368,0.5471667607568518,0.5896456631413871,1.948382087580121,0.6050986894822461,0.7096947822467806,1.8361949255502767,0.1984739061589201,0.1979440630799527,0.4739581295744614,0.6306887390995869,0.3289130758204299,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
6,ULY_O_27_P2,ULY_O_27,22.320238095238093,59.7,18.407577752827216,0.8247034675115933,0.4903237474608169,1.674733109615166,0.7462894601584081,1.1557725997267645,1.750069291678891,0.2008610506373223,0.1944319775700576,0.4073910231619213,0.4908691675775707,0.3537175568313763,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
7,ULY_O_27_P3,ULY_O_27,29.655143312101917,57.9,17.498587387804584,0.5900692235287097,0.536443013839354,1.9867783567256565,0.6984404434741502,0.8319914617217623,2.2464526018768907,0.2090615682428551,0.1872097078571989,0.4832983016191847,0.6229002538991827,0.3160295591172903,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
8,ULY_O_27_P4,ULY_O_27,30.440904419321686,58.35,15.650590498239607,0.5141302729594901,0.5683132326734887,1.91832978355859,0.6862885668767328,0.7363017873998915,1.821556151529813,0.2062420043656737,0.1867701276039415,0.4666476878011343,0.5941574561719452,0.3199218213783665,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
9,ULY_O_27_P5,ULY_O_27,23.70005688744413,58.25,18.4996877598878,0.7805756689845165,0.4643496307447629,1.7026801834821583,0.8069516518010287,1.1555552656279144,2.416531393755524,0.2102185251005964,0.1913529548588661,0.4158614785850053,0.4703631985062544,0.3359273237267244,ULY_O_27,ULY,2013.0,12.0,385.8527346,14.03728753,UL
