id,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9
PPO_O_05_P1,1.5902724352026012,-5.20078684264291,1.7625933335490598,-0.2833855495617722,-0.9399013770786082,-1.2447687897139141,-0.654706866074654,1.166639942382779,0.6902916838838592,-0.19131417736378709
PPO_O_05_P2,1.8018856516318655,-5.06431252948062,2.8441170241106937,-0.049345559176731606,-0.24229129582616282,-1.7746353524392364,-0.9980125812461708,1.4886919923659008,0.9377833405693523,-0.06717311248341325
PPO_O_05_P3,2.6772267505901577,-2.991982145397609,3.516736004866766,-0.20400289688286238,0.4400869801675607,-0.9669902114569556,-0.9455931723680417,1.255276421650212,0.5196196732521784,0.07727897510384672
PPO_O_05_P4,2.755456852794098,-0.16643664412062628,3.6380322877396116,-0.1425829599037027,1.597876891285778,0.07902017346365663,-0.7111173271396315,1.6562494097633613,0.15398979692243497,-0.14703475995196272
PPO_O_05_P5,3.0268447757520267,-4.942062848846529,3.274871023971731,0.6479567007379311,-0.8266084536195281,-0.8698413331236042,-0.9561469617237226,1.1236490567605208,0.6729937633958789,-0.17669667462970862
PPO_O_09_P1,4.994473833663273,-2.223240809786355,4.995374062266072,1.071179330502297,-0.12717095741167336,-0.6586364091987017,-0.6581992588810884,0.3602821172365456,-0.807991769133307,0.6888002329034747
PPO_O_09_P2,4.697526734555037,-3.272198773903216,5.168076254399785,0.8537021689497164,-0.26012234045755367,-0.9474489595044043,-1.1932905050887237,1.203182576377007,-0.15474895789502957,0.8408856556012191
PPO_O_09_P3,4.947083306826817,-5.622304072441949,5.368683098562797,1.7579201510780311,-1.3555569870821993,-1.9760470195808788,-1.4607200412231873,1.4125739415634642,-0.05098819010212803,0.9088603877381688
PPO_O_09_P4,5.041279033164173,-5.194067253279917,5.301001224382608,1.2431684900564506,-1.030889305672778,-1.7620402759565197,-1.663604290796329,1.2707909901217929,0.019699004095156066,0.8699926915566729
PPO_O_09_P5,4.743065773707033,-5.512688096442229,5.347967668057113,1.6371036424420682,-0.9826851705463442,-2.013539472602175,-1.504082216147239,1.3799304932319008,0.2547555481997364,0.7515850565553901
PPO_Y_07_P1,1.6807536826720215,-7.758863598991917,2.9455985705841976,3.101404044278597,-2.775514023381367,-0.4122351719329089,0.3125180922202559,0.3649500113546464,-0.8439528063409535,0.11572357670725048
PPO_Y_07_P2,1.8681359094887955,-8.042083998266955,2.84524638943619,3.1324507052996706,-2.9928784508019715,-0.33880796650595707,0.05308318995456699,0.3452189281935138,-0.5894128415645616,-0.01914683028402737
PPO_Y_07_P3,2.307587568366762,-7.696158638569851,2.9402722863518185,3.084428862463931,-2.7446001471439847,-0.4656927219495067,-0.16617250547077062,0.4543187325728344,-0.24016033307505016,-0.09466240652966401
PPO_Y_07_P4,2.2225189853742906,-6.65684112062593,3.284584201281823,2.855588718173421,-1.7143550939497971,-0.13749032904529077,-0.16882552873256115,0.7122503965389453,-0.41040526023593427,-0.21487547068782292
PPO_Y_07_P5,1.824964908066277,-7.985141203908465,3.0650982406513787,3.3523503635683354,-2.9477902462190264,-0.626590786487541,0.1472343990454313,0.45701781886547205,-0.5823496776634056,0.12545001993372684
PPO_Y_09_P1,-1.5714058034196488,2.1522684990720777,0.8456660271290999,0.44147237455278576,4.079749677586726,0.16759295199854263,-1.7062106121454645,1.5411271173003636,-1.2892912047562803,-0.7054964665487291
PPO_Y_09_P2,-1.2221586544306868,3.0441324072595815,2.3015676048355362,-0.7150207667453478,4.236626348405438,-0.6474390168470926,-1.8308333737601785,1.6001108671070203,-1.0107073266472206,-0.14364970796920182
PPO_Y_09_P3,-0.5342676240225533,3.6214375926166276,2.752982670880946,-0.5752904258591756,4.1221573636569735,-0.43234413801183913,-1.6675087788549632,1.522906142636817,-1.2806590219804432,-0.011527883377114943
PPO_Y_09_P4,-0.28511188900019757,3.305177818114586,3.5079049756870653,-0.3844465046267013,4.574822274479441,-0.5749039693391601,-1.705988709518118,1.588825354192596,-0.9940128635147861,-0.030249637080342177
PPO_Y_09_P5,-0.25340069162949524,3.377157012714873,4.461339349095543,0.30337416850486115,5.229019371338925,-0.5655665242002786,-1.8224514206921985,1.6143328700883857,-0.6496098678844963,-0.04838029580018165
PPO_Y_13_P1,0.0074193743601883,-5.3124856043326165,1.1845018916501435,0.42060780158969424,-0.35294662690168094,0.9829210655929611,0.033143417927591734,-0.6071127794642256,-1.679554973883264,-0.37256226224667743
PPO_Y_13_P2,-0.49820891079442287,-5.884849579030462,0.8618795213162032,0.3700141561050772,-0.5790498643152155,0.4655983725477079,0.03981149323059712,-0.2787417866450006,-1.4741318811902782,-0.3595919051940632
PPO_Y_13_P3,-0.062819140902938,-6.136126342127983,1.5643340616536334,1.009612856514155,-0.35528260345244467,0.5508778234192276,-0.2793174556114982,-0.010365863428866837,-1.4775403119124155,-0.3295952055357043
PPO_Y_13_P4,-0.1086592461637724,-6.1173493832704455,0.8058336805772319,0.8369504102594937,-0.3388045624930431,0.6308022797394,-0.3947125244539122,0.09929794623148372,-1.3911005284699902,-0.5191454490568503
PPO_Y_13_P5,-0.02118345152007623,-6.553964398921547,0.7428405233251995,1.1915833478688984,-0.5344511804759576,0.49186895199322433,-0.5847015638194958,0.2137721756344754,-1.3021896197581058,-0.4307173222029634
PPO_Y_17_P1,-1.7508724730240321,-2.351342042089725,0.37111776336361674,-1.1205719817073756,0.793594714537385,1.5402680593644462,0.4013577688588999,1.4024689570328128,0.09335935533505188,-0.8154201848089241
PPO_Y_17_P2,-2.8569134077803175,-0.8159924052490117,0.29024227672310804,-1.3520671054529907,1.5908669340733264,1.816468833170225,0.1923815990042037,1.634171761596412,0.0987157125106092,-0.832246593851918
PPO_Y_17_P3,-1.5363017543515187,-4.248117432221151,-0.6189117211302897,-0.7364725721584163,-0.22388359952765455,1.436232771585113,1.1824956076955353,1.1154389665659838,0.1477509996453597,-1.1078667417304338
PPO_Y_17_P4,-0.8746351627215458,-5.10895167779871,1.0088181217629346,0.5839361932718871,-0.20038602064687433,1.693872632542225,0.5324443385668567,0.9411221348567583,-0.007126589360387627,-0.8968283886016466
PPO_Y_17_P5,-0.9742036636168239,-6.273349972736739,0.2414325862135409,0.20006184764323087,-0.8809842042290164,0.9590388868197097,0.5521765899887676,1.0733388886028277,0.17005983113115097,-0.7679836666667301
PPY_O_09_P1,-1.4745315978241602,-6.598698101026989,1.242331710453005,1.6582189740802313,-0.5815145532930388,0.006039965024813583,1.1525463951920554,1.5649033985756016,0.7037693140721902,-1.1561175591060178
PPY_O_09_P2,-0.9248185723126772,-7.385119120508144,1.44497887279208,2.4166825518991732,-1.5574208381225019,0.6571894824238965,1.0276846011003262,1.1338554236622542,0.21588633154021147,-1.056694986834263
PPY_O_09_P3,-0.4443656415106838,-7.832985982480656,1.490670060669859,3.087933565129105,-2.4866424315920903,1.8402976879804525,0.8499432801507563,0.5783865439064533,-0.6860919620055079,-0.8239987282324944
PPY_O_09_P4,-0.5054296982771813,-8.004025112718676,1.3520225725232335,3.096560750186904,-2.6686415056150183,1.8374151041736833,0.7556779205018169,0.20604577126010956,-0.6342030750139722,-0.8351755527925114
PPY_O_09_P5,-0.6631251460135396,-7.932694899058296,1.4461780983164523,2.8029711374602053,-2.1593870180130357,1.2257864703006163,0.9138119553322771,0.508296108993194,-0.4851674979904305,-0.9914268701498667
PPY_O_24_P1,-6.436296299998774,-0.23766267342894815,2.4877348016622136,-0.47057960775635643,3.7090731018483236,-0.6897038529600493,-0.21537888586182288,1.0022278091458503,0.8861977550817414,-0.34948680244276503
PPY_O_24_P2,-6.729293893402414,0.9045611327469486,2.897688870248408,-0.4855249581622574,3.6440312449962873,-0.3380660700543551,-0.478985948049418,0.6142510986320697,0.92410706401922,-0.35615561966826836
PPY_O_24_P3,-6.691235377118649,1.3013162770007398,3.199290207719714,-0.3698014139270046,3.881598473780093,-0.2365986542194406,-0.5836347407774425,0.6146983894935119,0.8734840428437134,-0.5034085480144439
PPY_O_24_P4,-5.983525823154657,-0.6268918657337301,2.5756184216806806,-0.9214979991035559,3.482819323863836,-0.302630409224768,-0.2881904579273586,1.184787116023747,0.5772324019624471,-0.4491419988726959
PPY_O_24_P5,-6.74501952309923,1.6309986007283575,2.2005075974410873,-0.9412128732533682,3.0172163391195115,-0.38901973840694776,-0.6327582412310474,0.8224946431397622,0.7027498195129434,-0.5856294843352362
PPY_O_31_P1,-1.6389053069431765,-4.870671401401326,1.2264559698455602,0.5475598049849376,-0.18295227392739638,0.11863764958590667,0.33554794545655864,1.127816414015867,-0.25573902521152564,-0.6788236245394719
PPY_O_31_P2,-1.812008474781592,-6.617777118840441,0.7197466130107637,0.45605958596638735,-1.1309367736527667,-0.5769774285339301,0.31814208239059744,1.2040124666587007,-0.05267509286220818,-0.3636498613995382
PPY_O_31_P3,-2.2074151495321384,-5.270930140803037,0.7592125630591188,-0.1707826608844784,-0.3757226020637515,-0.20032000247646461,0.38173656972454434,1.289515317740718,-0.22174958958767021,-0.5212960540630065
PPY_O_31_P4,-2.2136754597109407,-5.450674687765301,1.220023588711465,0.12765830925468571,-0.053044833325576815,-0.7631894051606443,0.45039981289246084,1.5239868990253818,-0.0014035468718811474,-0.5652882953020572
PPY_O_31_P5,-1.7877177078756303,-6.163817436119823,1.4111094748869237,0.8085292088255566,-0.8343920548803297,-0.7641265168038666,0.8480103385954626,1.2341827667457996,-0.08000730950709281,-0.5661789562151602
PPY_Y_01_P1,-6.290703503083535,-3.23014891593977,2.1997394559483596,0.8963004494373052,-0.14962706810741971,1.1432121141018192,2.4828116895522183,-1.6513006162600852,-1.9045909929035165,1.2611472407863125
PPY_Y_01_P2,-6.084131868309517,-4.041334865819792,1.9554924226961006,0.5856881571387793,-0.3396029468397611,0.7338448242296516,2.472479072914693,-1.270576427197545,-1.967990155370306,1.350226635233799
PPY_Y_01_P3,-6.616726826495707,-2.3728731185509,1.4746410560337329,-0.3036754760207273,0.5032838584620247,0.39941724048492644,2.0491400726441555,-0.9538234288535632,-1.9042022801733733,0.8742689742169013
