site_plot_id,field_groundstorey,field_understorey,field_midstorey,field_upperstorey,groundstorey_rel_density,groundstorey_rel_density_w,groundstorey_capture,groundstorey_capture_w,understorey_rel_density,understorey_rel_density_w,understorey_capture,understorey_capture_w,midstorey_rel_density,midstorey_rel_density_w,midstorey_capture,midstorey_capture_w,upperstorey_rel_density,upperstorey_rel_density_w,upperstorey_capture,upperstorey_capture_w
NRY_O_14_P5,32.0,21.0,6.0,0.0,17.22381668966687,18.085592453644423,70.73129228088845,71.72902451682045,40.03444092545543,40.42107495932062,61.811355403499746,61.52366307323898,34.00052234435356,32.94912523316872,34.57348791124279,33.52684498609494,1.2414883932796577,1.2193599484839974,1.2414883932796577,1.2193599484839974
NRY_O_20_P1,27.0,47.0,0.0,5.0,10.155099840124388,9.803811571598944,34.79370038491039,34.919966168013495,60.169552559427274,60.743485375602106,67.17736542462657,68.33846552511667,0.0,0.0,0.0,0.0,9.650949254340418,10.297226567847938,9.650949254340418,10.297226567847938
NRY_O_20_P2,24.0,26.0,0.0,24.0,8.36536070238633,8.034404631973816,32.67202667632353,33.00231605811931,57.84308779128256,57.93478433940997,69.78079413332351,70.86456932252227,0.0,0.0,0.0,0.0,16.3980923046122,17.60074429016259,16.3980923046122,17.60074429016259
NRY_O_20_P3,11.0,24.0,0.0,24.0,11.305291805851505,11.294970474516896,39.30076516721868,39.48492952459237,50.07421457228743,48.91937822555477,63.99317936487346,63.784770092449975,0.0,0.0,0.0,0.0,20.18807906462718,21.434921890704317,20.18807906462718,21.434921890704317
NRY_O_20_P4,16.0,31.0,0.0,10.0,7.973730599063157,7.621444760342197,32.12196082751526,32.157172139239414,50.95678171320396,50.55066815699399,67.5775537890244,68.32242788707009,0.0,0.0,0.0,0.0,24.142738699697055,25.513494551655086,24.14273869969705,25.513494551655086
NRY_O_20_P5,14.0,38.0,0.0,8.0,9.306742732094987,9.300379396918725,34.93854926572055,35.399393626807296,48.91491202809376,48.403896900156866,66.67981885576091,67.20265044812692,0.0,0.0,0.0,0.0,25.519253210035558,26.82729216892168,25.519253210035558,26.82729216892168
NRY_O_25_P1,8.0,5.0,0.0,35.0,2.1348502723603087,1.761662141195049,23.336994819327497,23.327962139020652,49.530600617721795,46.7564559200062,79.76852194462721,80.5501815427098,0.0,0.0,0.0,0.0,39.26589095304909,43.57814285116454,39.26589095304909,43.57814285116454
NRY_O_25_P2,16.0,47.0,0.0,19.0,2.665712079329894,2.2917043110296116,26.802435642228577,26.72296540683126,61.05154249416746,58.875160056991504,83.39657386020068,84.44014957894474,0.0,0.0,0.0,0.0,27.27587139585274,30.90152519147139,27.27587139585274,30.901525191471396
NRY_O_25_P3,15.0,38.0,0.0,22.0,1.6665187176252563,1.358722559976366,19.764116028721453,19.806756512824485,62.18258219498062,60.114165743502,83.8714184440726,84.74748425818342,0.0,0.0,0.0,0.0,28.317434819356833,31.89548487306609,28.317434819356833,31.89548487306609
NRY_O_25_P4,26.0,41.0,0.0,7.0,6.5267800654626384,6.7130944903599845,38.108054956095344,38.846552930279444,78.94612066692335,78.33620323148386,86.71985046910436,87.1858866761881,0.0,0.0,0.0,0.0,8.547517948220626,9.629908448851006,8.547517948220626,9.629908448851006
NRY_O_25_P5,23.0,13.0,0.0,23.0,5.668823065245779,5.409881979653243,38.749064543390695,39.021550965624016,70.08641358179035,69.40308609915526,83.01653197042988,83.81427801660399,0.0,0.0,0.0,0.0,15.282750062977682,16.92659084804847,15.282750062977682,16.926590848048473
NRY_Y_03_P4,5.0,20.0,0.0,8.0,20.287154162195144,19.88492331441191,58.640604474356536,59.54302493160212,51.706076767937205,51.967469622113214,61.404607979855776,62.39768546354054,0.0,0.0,0.0,0.0,14.38791103639202,15.34568183304193,14.38791103639202,15.34568183304193
NRY_Y_03_P5,7.0,53.0,0.0,4.0,18.587971668351127,18.21087170086133,51.712777950439914,52.003552465517636,36.049145073921466,34.79980470928623,50.89082122507934,50.37194494032987,0.0,0.0,0.0,0.0,28.1594322245934,30.20435064682956,28.1594322245934,30.20435064682956
NRY_Y_12_P1,21.0,36.0,0.0,20.0,30.060051875574906,31.75437364768248,53.29296337402516,53.750145629180004,36.164462090542386,34.06084038992562,40.648865621732035,38.146018664401154,0.0,0.0,0.0,0.0,10.345330506189867,9.836910327530045,10.345330506189867,9.836910327530045
NRY_Y_12_P2,20.0,22.0,0.0,22.0,29.520412840366227,31.44926339980384,49.61600635099476,49.899391594278114,28.656893282399842,26.007448446735033,32.908781426297104,29.627357079137916,0.0,0.0,0.0,0.0,13.803260634110465,12.992216232227745,13.803260634110465,12.992216232227745
NRY_Y_12_P3,16.0,17.0,0.0,8.0,22.81982346475198,24.18385365659685,43.83641660411339,44.409238157897235,34.842030088996516,33.391216099480914,40.91319047704237,38.8772745124382,0.0,0.0,0.0,0.0,13.748904816337285,12.857149451520117,13.748904816337287,12.857149451520117
NRY_Y_12_P4,9.0,17.0,0.0,12.0,24.775859403159682,26.375827454104456,53.07544665105522,53.71013356751413,37.991349728833406,36.66644857677285,44.98429859994977,42.92740352367957,0.0,0.0,0.0,0.0,16.093077200920327,15.09582609724936,16.093077200920327,15.09582609724936
NRY_Y_12_P5,17.0,14.0,0.0,24.0,27.5480597431293,29.508387468974966,53.261761198558666,53.59994005187482,25.687242233769208,23.69498942238909,32.729479866766134,29.789346252802524,0.0,0.0,0.0,0.0,22.8620322845182,21.50108029301621,22.8620322845182,21.50108029301621
NRY_Y_15_P1,28.0,34.0,0.0,5.0,48.0762071673678,49.4528830090976,61.919770974600496,62.23574861098838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.721355384641242,18.68042043000722,20.721355384641242,18.680420430007224
NRY_Y_15_P2,38.0,35.0,0.0,11.0,37.81024087430244,39.16013097320249,60.27138263012698,61.24873661183802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.73606652384847,33.242038159834095,34.73606652384847,33.242038159834095
NRY_Y_15_P3,39.0,0.0,0.0,30.0,39.23059328542266,40.716481947984946,57.65130687539958,58.37328824555292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.218098503140368,27.110223177273458,29.218098503140368,27.110223177273458
