site,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15
EPO_O_04,0.8906100954585999,3.069692332264285,-1.157178387543165,0.1438558623518118,-0.581013408061269,-0.20846079268945994,0.2602286765689943,0.33751510799723883,-0.3071691457010379,-0.157432501043745,-0.1141842990705196,0.34726998733484593,-0.1290370296713105,0.3110689153654013,-0.20383133497711597,0.02250684238532957
EPO_O_13,-0.6844507894782795,1.620421161948783,-0.036883326164885974,1.0425550236139904,-1.2504348597177275,-0.42044435559327437,0.015693074856908764,-0.1864748065562364,0.24882256698530042,0.00252291102169562,-0.09855883746914416,0.10419935799062437,0.08039487435775385,0.054958985650596336,0.009806978420172937,0.0792816884328013
EPO_Y_10,-0.11565575896963724,0.8879946139179193,0.38249493186821054,1.6277130272133105,-0.9361142017217263,0.1485154757115865,-0.44096916061984315,-0.17558169405139254,0.13987187544994067,-0.1467457734518201,-0.2628066375701203,0.10864700096903888,-0.059236623039114436,-0.12834048733056855,-0.038648067106867516,0.027742328008214915
EPO_Y_15,0.592213127065389,-0.9329276074237122,-2.162757500921335,0.4955812969051611,-1.2253076832313905,0.11587502203692547,0.18168894839601726,0.06563114791413298,0.3200314825924004,0.03473518311445939,-0.07254139800856765,0.03444338156918153,-0.08719185709249641,-0.06580437678629414,-0.11325911523536517,0.030540167197346778
EPO_Y_36,-1.8704654519484116,-0.4135603862572876,-1.1209064228886492,0.0973897046255073,-1.5774580599399033,-0.05225924290430111,0.42704224679556596,-0.3020535685486305,-0.08433100840714261,-0.1742283111873488,0.014800330346441262,-0.0923160018884836,-0.06323646106345765,-0.22927431244800292,0.02535924536428697,-0.04301841798423355
EPO_Y_37,1.312258023694136,-0.7581907434822717,-2.0288828749457513,0.15585943895567445,-0.4706196091477515,0.6488911459310687,0.46415050894083243,0.33465694886598724,0.027222907571868113,-0.2918240034573741,0.3749054369069745,0.09398736537004827,0.012319530705320134,0.013869905514208596,-0.019241280907773755,-0.05290346160468219
EPY_O_01,2.0300551455421303,0.4704164439061106,3.0793614870081973,0.2734355535122259,-0.9816351075186326,0.82224416311536,-0.6781317960620509,0.2269108512409049,0.2404411388699214,-0.01875979313007369,0.08504173409429522,-0.11617548783899523,0.017352576322552205,-0.007831042971430828,-0.011493742435748248,0.02630641294949502
EPY_O_07,2.0239970707129027,-1.6471255538733731,-0.7063910180246076,1.2367162801531384,0.10925272104442153,0.28486279237818235,-0.3479938891094271,0.5219428318500363,0.5005820055331492,-0.2046426665157114,-0.4005251829809714,0.11528000845475449,0.011197290612346339,0.036618224056377276,0.005057701524955489,0.025419260512522475
EPY_O_09,-0.007048513288213166,0.03884849682588328,2.8128217336037977,-0.8949015429773458,-1.13289868585373,-0.6454879881752875,-0.00538170794037313,0.045140466399874034,0.385814765107535,-0.18518111429285464,-0.4290628336380833,-0.03303509744504824,-0.00431460330114118,0.06493459970550279,0.12777365931797885,-0.06862046195440485
EPY_Y_03,-2.776641170016832,-0.9537291486583583,2.1840918941168703,0.45037433188642695,0.22985765845071993,-1.1752567073544542,0.4502202068839848,0.023142375610283327,0.1192590590707627,-0.3615599728859564,-0.3082371957749164,-0.032129626935516895,0.0780683136170037,0.18537574263844214,0.1510435884079454,-0.02752775089464129
EPY_Y_04,-5.603191519248163,-1.6707227162688234,-0.08906191779572502,0.3322091180498975,0.2855850546469641,-0.0067467859550470795,-0.7005074873125043,0.4496473764676803,0.09181079891694283,-0.30774935042178225,0.16983748504202706,0.09329969682443794,-0.22262436792964962,-0.16555481202435202,-0.11131740514361493,0.013792627205112644
EPY_Y_05,-0.43195125537246387,-3.536292228460894,-0.452500139402885,0.15825290350902319,0.4832631306202992,0.6028753082857158,-0.061783463190588646,0.48244029609866174,-0.42912425868251414,0.023856525632373927,-0.22215308922142482,0.1271746281741619,0.1357433803727991,0.06298759867120085,0.1444327580125048,0.0986351363585423
NRM_31,2.0520740879369175,-0.42195396921565387,-0.47283295820599847,-0.5443937896885922,0.1463836038717251,-0.1945863818720613,0.022073354666034207,0.21689393216889555,0.3956336130510132,0.006325359657724268,-0.06371045452246879,0.20570677682186977,0.08033380419735914,0.04799451766633899,-0.021000766314524168,-0.09565844278505313
NRM_O_15,0.8593538948678069,-1.3014757105996875,-1.2130068719789704,0.5744235079403818,0.3632964878319077,-0.1813691136059198,0.24242138565687715,-0.3363615172871284,-0.03753011208616363,-0.05434866217323558,0.049758018347768884,-0.16236099840655394,-0.08787355304813768,0.01161670358472233,0.051540976975898975,-0.05054602915929534
NRM_O_19,2.6996887362528352,-1.1514333064337088,-1.3967810729418069,0.4105380402741544,-0.15041145074335355,-0.346260415578977,-0.2344755568611174,-0.0816159406016734,0.20786375108232624,0.0013996571343663185,-0.0031117919343763303,0.07529214350934398,-0.058755203383867645,0.01919307988959465,-0.08882506917258877,0.029381024509126445
NRM_Y_39,0.8669872824091622,-1.5460554217266649,-1.4042456314640615,-0.1250479879334928,0.27203109174854917,0.2372475011112052,0.26770903980090477,-0.14392839719020634,-0.02741844841007086,-0.3398589894792146,0.0845077301568434,-0.21220257599786235,-0.16743052931445027,-0.06938083872438552,0.021788575931153863,-0.05900796431400279
NRM_Y_41,2.3784701943765048,-1.669964640938863,-0.9325301860180214,-0.6824845556629837,0.21419568624956287,-0.27753592719851794,0.007454792726447142,-0.22897164214581286,-0.05449523865809616,-0.2813123711226316,-0.11250685453291652,0.07545996847786819,0.08036820008646413,0.05564333796109916,0.045770213707429744,-0.10059995227965977
NRM_Y_69,2.8332003355115716,-2.2128783306719804,-2.21197274842773,0.672232336095118,0.21491395398375973,0.5957317921837922,-0.15033741486317456,0.33944002115439564,0.029695192549632106,-0.20156223164106804,0.031370551164003536,0.037719243956418166,-0.09924882435250018,0.020892704095830793,-0.011162517487871004,-0.017162776646720924
NRO_138,1.6608628913331058,0.5259279858351138,-1.2015020101341172,0.18440382955907614,-0.011818023592722972,-0.07232466020215615,-0.19560988010785868,0.005299724929185932,-0.014404959385744223,-0.18332254249597432,-0.0363823715898352,0.1499002226553126,0.19293161343064255,0.1645892347748648,-0.08398266157387896,0.012582912702399572
NRO_174,2.821646420164266,-1.580632633627456,-1.9699347542136145,-0.1510551326233409,0.27400650429368933,-0.30361582000047804,-0.47326239866573144,-0.2769626287374179,-0.08591775322308669,-0.07983037045826454,0.11746572221102876,-0.2265008338880258,0.10576044595343541,0.09152189027437399,0.033788021245943184,-0.027362996135786175
NRO_190,3.1326742150791915,0.1912229198296074,-0.6717417567687691,0.2218514101304788,0.5470516895776905,-0.38554130867208486,-0.5032249819648371,-0.23659860885622744,-0.36110471543692024,-0.5832325516016598,0.05002065761138224,0.15198991850734433,-0.004472229605614651,-0.031703914479946985,-0.0022501849540445483,0.003245699449766848
NRO_52,-0.044166992600730794,3.278615312292813,-0.374552676328558,-0.26831194849697493,-0.6067296829922262,-0.7567317918313737,0.4420132345359651,-0.10535832400177297,-0.3601287259122151,-0.36392308963975467,0.3958192645909767,-0.03275224186376553,-0.005828632472442459,-0.03065058048469255,0.20376345027522566,0.059553051283108165
NRO_O_56,1.9848683484767229,1.4286667821829178,-0.5754555324632871,-0.12085707065432014,-0.4482629016632415,-0.9036403244603715,-0.3305202032834219,-0.31049597754942365,-0.31013964066918004,-0.29201369921257936,0.29946138022771895,0.10451795632351296,-0.05461338596934888,-0.034006829458301635,0.06727303481588122,0.07191258375450546
NRO_Y_82,1.83619655364983,-0.7730953520369078,-1.8694372264042507,0.007708207268601895,0.43262159399498273,-0.42835654174399546,-0.3168001316509315,-0.6814921913193625,0.14920777046407752,0.2996063202903244,0.014835240717134105,-0.31032620328745575,0.3802061086119637,0.07752852720563609,-0.14505072348653378,0.07314744792744497
NRY_O_14,-1.2227084159901693,-2.458393265889239,-1.8505686448735927,0.26184124852183965,0.2061481847329814,0.5824419050256345,-0.027161603331329793,-0.5340046715461657,-0.15775573333837198,0.3079391890269092,-0.06388937102720792,-0.07505944557350978,0.05411642815404194,-0.11287316999554996,0.01563066446795465,-0.08108508832718421
NRY_O_20,-0.342279310677929,-2.7981275310963243,-0.7889871219966222,-0.4437630189182831,0.3158595576964297,-0.04102057536254602,0.28478984846635075,-0.009915663240082974,0.2096586589740371,0.3442683430792405,-0.12365429935969655,0.02686093898158409,-0.12025209456237701,0.006450025336646609,0.07045744569230662,0.01695602027927901
NRY_O_25,1.3486458267526809,-2.8595682376977902,-0.2441474015555818,-1.0857006894626766,0.2920764856471281,-0.283210278495065,0.4832259990174814,-0.4259670700676307,-0.1756962154202974,0.07592174411424403,-0.21464449076859346,0.03671183482048051,-0.11271951323653474,-0.03478384180030529,0.026267799909670878,-0.016422834448684025
NRY_Y_03,-3.68949998625773,-1.87272667596184,0.6047292120524567,-0.4180605982430761,0.43068472188658097,-0.33281766506222976,0.4191609345250155,-0.36613522677326366,-0.0344367024608005,0.39198991541459305,0.24332392381039555,0.2657501126294076,-0.10357695121058248,0.0030699225422001967,-0.16142000307291446,-0.016883279811527145
NRY_Y_12,-2.9489312016839735,-2.40305859463122,-0.9417812872944906,0.0212347585261954,-0.8801270773606651,0.2744293929925813,-0.1450279593105619,0.29101680612425346,-0.09891791509257984,0.013672885088259357,-0.23801489150111205,0.1308195857698232,0.08356941373290852,-0.2862039551683333,0.04598452694156736,0.045999807628770345
NRY_Y_15,-4.664668249281952,-2.812681702273038,-0.4205306955671391,-0.6990106891474154,-0.1436370846029164,0.42476772421979864,-1.3040193950873347,0.4224651368317971,-0.5133796082027983,0.20056292984177637,-0.020343619469486814,0.11518033558333224,0.26757079512591037,0.03544745781956391,0.06158388176171584,-0.12338720477544136
