site,pca0,pca1,pca2
AGG_O_01,-0.8917743257469993,0.5886922638643847,0.1124551992050049
AGG_O_05,0.13821708516994702,0.24477079885415243,0.6120315045365398
AGG_O_07,-2.567332481956448,0.8117008106083741,0.014381020117665504
AGG_Y_02,-2.3787782040513714,0.3027015326216323,-1.5279101904877979
AGG_Y_03,-2.7728690913667347,1.866819838715249,-1.4753656830031998
AGG_Y_04,-3.7761187399552663,1.0181733418652332,-1.4679092307392203
EPO_O_04,1.5964285387823542,2.2621619963574338,1.441177906556255
EPO_O_13,-0.466894693564078,-0.2947080651822155,1.3713998226334727
EPO_Y_10,-0.3164938631076659,-1.34877642861856,0.7814567806277474
EPO_Y_15,0.3499745053238068,-0.12627110534482314,-1.9813064769073383
EPO_Y_36,-1.9090322741417405,0.2062901173967443,-1.2773386287567527
EPO_Y_37,1.2565497964133188,1.129802750896836,-2.3469426586729503
EPY_O_01,1.7938188496644838,-3.108655822139336,2.3012138406553397
EPY_O_07,1.290018787090504,-3.673332946011227,-0.17271133336535355
EPY_O_09,-0.18275361997477416,-2.928085428761796,2.4622965214254298
EPY_Y_03,-2.0492550452326173,-1.6820873392615063,1.4778419782712717
EPY_Y_04,-5.929633613990841,-0.9870095390573896,-0.13744795549233793
EPY_Y_05,-1.413918311898004,-5.034523589260793,-0.22767099928333712
NRM_31,2.4203958257231593,0.069191339714423,0.009275398159846479
NRM_O_15,1.3818130742363073,0.6005030191245083,-1.7942928932349764
NRM_O_19,3.2442289755059894,0.026410254190604845,-1.3860026264301075
NRM_Y_39,0.36246723634050676,-0.34263414545344933,-2.472566059646766
NRM_Y_41,2.7470087141899917,-0.7226900864198121,-1.2630162003628278
NRM_Y_69,2.8004639746164837,-0.6160855363797112,-2.583609786098443
NRO_138,1.9865200028022214,0.5648483567066678,-0.17265025454349844
NRO_174,3.242869304891,0.38908100289552805,-2.3308970702556664
NRO_190,3.9402079701849804,0.8117432843048217,-0.808025112026612
NRO_52,1.0781446855206895,3.56921064168298,0.9569620260077735
NRO_O_56,2.925805360456272,2.1094695490365916,-0.12037268855309198
NRO_Y_82,2.515969530308509,1.0535345180467643,-1.693836874129619
NRY_O_14,-1.6285685542176722,0.21377596666349494,-4.112258511190528
NRY_O_20,-0.5949694323986102,-1.4246086093510901,-1.82350122235897
NRY_O_25,1.2041651496383354,-1.7813747246044598,-1.9634807503927156
NRY_Y_03,-3.609707523338344,-0.3994865400932961,-0.9028404017611934
NRY_Y_12,-3.380581869878508,-1.2515926884720179,-1.8254707884041377
NRY_Y_15,-5.596916621046945,-2.356754471540832,-0.3818650035829421
PPO_O_05,1.7085372596877344,-2.498880292895389,1.5353034821220608
PPO_O_09,2.1358573225639645,-2.879818311198031,3.014474323519738
PPO_Y_07,3.6506933593074384,-4.01653286619856,1.5758468014883713
PPO_Y_09,-1.9963652560594272,0.4977816330799223,2.050931060940192
PPO_Y_13,3.1230438983603537,-2.381972121120215,0.4159049222057504
PPO_Y_17,1.5656928871499074,-1.7733001900327534,-0.2444969551288404
PPY_O_09,3.547047153266429,-3.702235921718522,0.5679002742310465
PPY_O_24,-3.6519978056816473,-2.360549003093711,1.253424941696442
PPY_O_31,2.0838200090812027,-3.650775666475297,0.32317831810821157
PPY_Y_01,-1.3208273043063625,-3.9113951600427392,0.9273993990735326
PPY_Y_22,-0.4191176217083936,-3.365713712003225,-0.9777782700258837
PPY_Y_23,-6.121515096536159,-2.7912951489415754,1.9458016820914605
ULM_147,2.6336537466108463,5.581544663887445,2.476382936535732
ULM_27,1.3062723266459275,2.4675625889115227,1.0025946614241652
ULM_310,0.5769466313681381,4.041079230015604,0.3455036516316019
ULM_325,2.3113066467219,3.956526412985862,0.27797893573934546
ULM_345,2.3508584754174495,4.042318655749007,1.1939833493397902
ULM_80,1.543238032515767,2.4978138847354576,-0.6306321386574534
ULO_107,2.7685968352954595,1.5689323035441238,0.4066229044973096
ULO_139,2.3609143868614106,2.6156654315151355,0.08181654740049384
ULO_188,1.3752031106317717,0.6418951814594549,1.6523370654100977
ULO_237,0.5170489879454409,1.0076566756467646,0.724459960380383
ULO_271,0.24679171420311546,0.5844330898761244,1.339412464602082
ULY_Y_231,-3.792414867554976,3.446477768255554,2.267381805978776
ULY_Y_232,-6.1906351568018225,3.9796358707296364,0.6144802680795874
ULY_Y_25,-2.233303247664893,4.552436705833159,1.233911764327381
ULY_Y_96,-6.888815528312822,2.090503979901138,-0.6653267555273396
