site,pca0,pca1,pca2,pca3,pca4
EPO_O_04,0.8906100954585999,3.069692332264285,-1.157178387543165,0.1438558623518118,-0.581013408061269
EPO_O_13,-0.6844507894782795,1.620421161948783,-0.036883326164885974,1.0425550236139904,-1.2504348597177275
EPO_Y_10,-0.11565575896963724,0.8879946139179193,0.38249493186821054,1.6277130272133105,-0.9361142017217263
EPO_Y_15,0.592213127065389,-0.9329276074237122,-2.162757500921335,0.4955812969051611,-1.2253076832313905
EPO_Y_36,-1.8704654519484116,-0.4135603862572876,-1.1209064228886492,0.0973897046255073,-1.5774580599399033
EPO_Y_37,1.312258023694136,-0.7581907434822717,-2.0288828749457513,0.15585943895567445,-0.4706196091477515
EPY_O_01,2.0300551455421303,0.4704164439061106,3.0793614870081973,0.2734355535122259,-0.9816351075186326
EPY_O_07,2.0239970707129027,-1.6471255538733731,-0.7063910180246076,1.2367162801531384,0.10925272104442153
EPY_O_09,-0.007048513288213166,0.03884849682588328,2.8128217336037977,-0.8949015429773458,-1.13289868585373
EPY_Y_03,-2.776641170016832,-0.9537291486583583,2.1840918941168703,0.45037433188642695,0.22985765845071993
EPY_Y_04,-5.603191519248163,-1.6707227162688234,-0.08906191779572502,0.3322091180498975,0.2855850546469641
EPY_Y_05,-0.43195125537246387,-3.536292228460894,-0.452500139402885,0.15825290350902319,0.4832631306202992
NRM_31,2.0520740879369175,-0.42195396921565387,-0.47283295820599847,-0.5443937896885922,0.1463836038717251
NRM_O_15,0.8593538948678069,-1.3014757105996875,-1.2130068719789704,0.5744235079403818,0.3632964878319077
NRM_O_19,2.6996887362528352,-1.1514333064337088,-1.3967810729418069,0.4105380402741544,-0.15041145074335355
NRM_Y_39,0.8669872824091622,-1.5460554217266649,-1.4042456314640615,-0.1250479879334928,0.27203109174854917
NRM_Y_41,2.3784701943765048,-1.669964640938863,-0.9325301860180214,-0.6824845556629837,0.21419568624956287
NRM_Y_69,2.8332003355115716,-2.2128783306719804,-2.21197274842773,0.672232336095118,0.21491395398375973
NRO_138,1.6608628913331058,0.5259279858351138,-1.2015020101341172,0.18440382955907614,-0.011818023592722972
NRO_174,2.821646420164266,-1.580632633627456,-1.9699347542136145,-0.1510551326233409,0.27400650429368933
NRO_190,3.1326742150791915,0.1912229198296074,-0.6717417567687691,0.2218514101304788,0.5470516895776905
NRO_52,-0.044166992600730794,3.278615312292813,-0.374552676328558,-0.26831194849697493,-0.6067296829922262
NRO_O_56,1.9848683484767229,1.4286667821829178,-0.5754555324632871,-0.12085707065432014,-0.4482629016632415
NRO_Y_82,1.83619655364983,-0.7730953520369078,-1.8694372264042507,0.007708207268601895,0.43262159399498273
NRY_O_14,-1.2227084159901693,-2.458393265889239,-1.8505686448735927,0.26184124852183965,0.2061481847329814
NRY_O_20,-0.342279310677929,-2.7981275310963243,-0.7889871219966222,-0.4437630189182831,0.3158595576964297
NRY_O_25,1.3486458267526809,-2.8595682376977902,-0.2441474015555818,-1.0857006894626766,0.2920764856471281
NRY_Y_03,-3.68949998625773,-1.87272667596184,0.6047292120524567,-0.4180605982430761,0.43068472188658097
NRY_Y_12,-2.9489312016839735,-2.40305859463122,-0.9417812872944906,0.0212347585261954,-0.8801270773606651
NRY_Y_15,-4.664668249281952,-2.812681702273038,-0.4205306955671391,-0.6990106891474154,-0.1436370846029164
PPO_O_05,1.57177742862058,0.17243036863130345,1.5582584563710362,1.536327014150158,0.3837027553437344
PPO_O_09,2.1942429948682367,1.3305462835272133,3.3252545373780267,1.3762370394125112,0.19965725420996977
PPO_Y_07,3.7977923000431852,-0.6426314980551906,3.3311012272402905,-1.2041836717799703,-0.11729866042608622
PPO_Y_09,-3.4854349221651715,0.93014410166022,1.5451052223617863,3.071701297679364,1.281585031612278
PPO_Y_13,2.6192306067128643,-1.7447604211019307,1.4713033455669233,-0.011429113957045996,-0.2872587377458968
PPO_Y_17,1.3200719592912187,-1.7846386064851938,0.2905460975597556,0.47802438770661754,-0.16036866703992353
PPY_O_09,3.323486377812429,-2.071241515687393,2.487494747973999,-1.7119734728968437,-0.11803783346928164
PPY_O_24,-4.15027789041663,-1.8705884210795436,1.30124277648012,2.0290378810261935,0.9829806389312393
PPY_O_31,2.095657531401841,-2.1883717293512017,0.9892724714504038,0.10857146410253095,0.19204967422480257
PPY_Y_01,-1.411049845532891,-2.2257995590358233,1.793042959839638,-1.3434380916822048,-0.6454791217439931
PPY_Y_22,0.17824189702654974,-3.3774095682536167,-0.27264378925491806,-0.8695805574425647,0.11184106801472506
PPY_Y_23,-5.77124417260319,-2.255477002976145,1.1886357317900857,0.01507750416766093,0.053151974004894346
ULM_147,1.5366156222384122,6.094442615241781,-0.28264111050487434,0.01992167521803881,0.641977256334648
ULM_27,0.21794507491492396,1.9247354418631126,0.2223428552371912,-0.18992946083010068,1.1259805582966802
ULM_310,-0.08053768812438329,2.809638220355764,-1.0369370871499355,-0.5350093410369919,0.14716046568277263
ULM_325,1.3716874755965596,3.115234025749615,-0.5869581734460675,-0.18090096345977807,2.2018129212672832
ULM_345,1.3318348171579546,3.887411127859654,0.5850247593171661,-1.2460176541509682,0.91185393820701
ULM_80,1.110661916528249,1.691681552965312,-0.0016561252897728384,-0.40970106462088757,0.5443971754216095
ULO_107,2.107775847200224,1.6800621133900795,1.1215886003176574,-0.21030404974237774,0.15773438060667758
ULO_139,1.6079411355033484,1.848000056409513,0.04214291638198716,-0.1492763223694831,0.5667605044722339
